word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
abak	+	-	2	k	aa	a		NOT FOUND	артефакт
abakan	-	+	3	n	aaa	a		"tkanina artystyczna przypominająca płaskorzeźbę"	артефакт
abakus	+	-	3	s	aau	u		"górna część głowicy kolumny"	часть предмета
abandon	-	+	3	n	aao	o		"zrzeczenie się – na rzecz instytucji ubezpieczającej – statku, który zaginął lub stracił na wartości wskutek wypadku"	
abażur	+	+	3	r	aau	u		"osłona na lampę"	артефакт
abażurek	+	-	4	k	aaue	e	ek	"osłona na lampę"	артефакт
abcug	-	+	2	g	au	u		NOT FOUND	
abdomen	-	+	3	n	aoe	e		"brzuch"	
abduktor	+	-	3	r	auo	o		"mięsień odciągający w bok kończynę"	
abecadlnik	+	-	4	k	aeai	i		NOT FOUND	
abecedariusz	+	-	6	sz	aeeaiu	u	iusz	"utwór, w którym kolejne wyrazy, wersy lub strofy zaczynają się od kolejnych liter alfabetu"	
abelit	-	+	3	t	aei	i		NOT FOUND	
aberroskop	-	+	4	p	aeoo	o		NOT FOUND	артефакт
abioseston	-	+	5	n	aioeo	o		NOT FOUND	
abisal	+	+	3	l	aia	a		"najgłębsza strefa oceanów i mórz"	
abisobental	-	+	5	l	aioea	a		NOT FOUND	
abisopelagial	-	+	7	l	aioeaia	a		NOT FOUND	
ablatiwus	-	+	4	s	aaiu	u		"przypadek deklinacji łacińskiej"	
ablatyw	-	+	3	w	aay	y		NOT FOUND	
ablegier	+	-	4	r	aeie	e	er	"rodzaj sadzonki"	
abolicjonizm	-	+	5	zm	aoioi	i	izm	"zwolennik zniesienia jakiegoś prawa"	
abonament	-	+	4	nt	aoae	e		"opłacone prawo do korzystania z jakichś usług; też: dowód uiszczenia takiej opłaty"	
abordaż	-	+	3	ż	aoa	a		"dawny sposób walki na morzu"	
abort	-	+	2	rt	ao	o		NOT FOUND	
abortus	-	+	3	s	aou	u	us	NOT FOUND	
abraksas	+	-	3	s	aaa	a		"bóstwo gnostyckie późnej starożytności, które jako magiczne zaklęcie umieszczano na talizmanach"	
abrys	-	+	2	s	ay	y		NOT FOUND	
absces	-	+	2	s	ae	e		"ropień"	
absenteizm	-	+	4	zm	aeei	i	izm	"człowiek uchylający się od wypełniania obowiązków społecznych"	
absmak	-	+	2	k	aa	a		"nieprzyjemny smak"	
absolut	-	+	3	t	aou	u		"byt samoistny, nieograniczony, wieczny, doskonały"	
absolutyzm	-	+	4	zm	aouy	y	yzm	"skupienie władzy w ręku panującego"	
absorbat	-	+	3	t	aoa	a		"substancja pochłaniana w procesie absorpcji"	вещество
absorbent	-	+	3	nt	aoe	e		"substancja pochłaniająca w procesie absorpcji"	вещество
